Municipio;1996;2001;2006;2010;2011;2013;2014;2015;2016;Promedio)
Plentzia;55.13;54.41;64.17;75.46;76.34;77.6;78.0;78.37;79.39;70.98555555555555
Portugalete;37.58;38.04;45.39;54.11;55.63;56.44;57.09;57.61;58.27;51.128888888888895
Ribera Baja/Erribera Beitia;29.4;44.39;50.19;62.48;63.46;63.03;64.29;63.07;64.44;56.083333333333336
Segura;32.87;35.29;43.91;56.66;58.41;60.26;60.51;60.88;61.59;52.264444444444436
Sondika;38.69;42.0;51.24;61.77;63.01;64.42;66.1;66.29;67.31;57.86999999999999
Sopela;50.58;52.65;65.69;75.39;76.55;76.93;77.27;77.61;78.18;70.09444444444445
Sopuerta;37.84;42.59;48.9;59.04;60.97;61.89;62.99;63.69;64.03;55.77111111111112
Sukarrieta;61.28;64.63;70.48;80.12;81.73;79.32;81.42;83.04;82.44;76.05111111111111
Tolosa;41.68;41.51;49.56;60.06;61.46;62.61;63.42;63.67;64.41;56.486666666666665
Ubide;23.49;40.52;38.36;55.0;62.43;63.47;63.86;64.02;65.03;52.90888888888889
Urduliz;35.93;46.57;50.56;63.9;66.12;68.09;69.88;70.49;71.51;60.33888888888888
Urdu�a/Ordu�a;34.7;36.8;47.37;58.65;59.85;60.18;61.03;60.97;61.86;53.49
Urkabustaiz;37.89;42.57;51.05;63.89;66.5;67.62;66.67;68.51;69.15;59.31666666666667
Urnieta;36.45;40.03;48.1;58.97;60.89;61.5;62.44;63.42;63.89;55.07666666666667
Urretxu;35.97;36.7;46.79;56.18;56.82;57.84;58.68;59.01;59.83;51.980000000000004
Usurbil;31.29;36.31;44.83;56.33;58.41;59.49;59.76;60.16;60.74;51.92444444444445
Valle de Tr�paga-Trapagaran;33.75;36.31;44.82;55.44;56.7;57.59;58.05;58.5;59.4;51.17333333333333
Vitoria-Gasteiz;40.64;41.78;51.18;61.51;62.86;63.73;64.25;64.77;65.22;57.326666666666675
Zalduondo;32.23;36.43;51.12;62.86;65.7;69.54;71.35;70.9;73.37;59.27777777777778
Zalla;38.42;37.13;49.15;58.97;59.8;60.78;61.36;61.46;61.96;54.33666666666667
Zamudio;34.15;35.94;48.05;58.31;58.79;59.63;60.32;60.28;60.85;52.92444444444445
Zarautz;46.27;45.51;56.44;66.19;67.7;68.55;69.07;69.85;70.45;62.22555555555555
Zeanuri;33.58;43.16;56.16;62.48;64.76;66.38;67.87;68.35;69.1;59.093333333333334
Zeberio;31.18;37.1;47.96;57.38;58.54;60.6;61.87;63.87;65.59;53.787777777777784
Zegama;34.14;30.52;44.43;56.18;57.72;58.56;60.06;61.41;61.15;51.57444444444444
Zerain;26.92;38.4;41.59;51.98;57.14;57.5;59.57;61.67;64.16;50.992222222222225
Zierbena;34.24;40.16;51.74;61.75;65.61;66.13;66.74;66.26;67.45;57.78666666666667
Zigoitia;47.24;50.63;56.52;68.42;69.66;70.74;70.43;71.05;72.19;64.0977777777778
Zuia;42.48;50.09;56.23;67.42;68.87;70.13;70.75;70.98;71.63;63.17555555555556
Zumaia;37.59;39.72;49.79;60.71;62.41;63.03;63.27;64.22;65.18;56.21333333333334
